,DateTime,Open,High,Low,Close,IO
,2023-11-01 15:15:00+05:30,42934.0,42954.7,42911.1,42925.0,202350,2510085
,2023-11-02 09:15:00+05:30,43155.55,43554.85,43150.0,43360.0,841695,2381235
,2023-11-02 10:15:00+05:30,43360.1,43411.0,43250.6,43314.75,418185,2505375
,2023-11-02 11:15:00+05:30,43314.75,43314.75,42978.1,43068.75,618135,2558400
,2023-11-02 12:15:00+05:30,43068.85,43170.0,43046.95,43166.95,215385,2573070
,2023-11-02 13:15:00+05:30,43165.95,43215.15,43065.35,43187.65,184695,2583765
,2023-11-02 14:15:00+05:30,43187.65,43395.75,43130.8,43249.95,560040,2597115
,2023-11-02 15:15:00+05:30,43245.0,43335.0,43239.0,43321.0,142020,2573985
,2023-11-03 09:15:00+05:30,43525.0,43598.85,43430.0,43523.95,658350,2509380
,2023-11-03 10:15:00+05:30,43520.4,43595.0,43480.0,43530.0,232245,2483100
,2023-11-03 11:15:00+05:30,43532.6,43550.0,43483.0,43515.0,122025,2493960
,2023-11-03 12:15:00+05:30,43515.0,43549.95,43455.25,43516.05,125850,2508555
,2023-11-03 13:15:00+05:30,43514.15,43575.0,43502.4,43530.65,152400,2497275
,2023-11-03 14:15:00+05:30,43530.65,43604.1,43470.0,43499.8,342885,2449755
,2023-11-03 15:15:00+05:30,43499.8,43527.7,43490.55,43506.8,110250,2440185
,2023-11-06 09:15:00+05:30,43598.85,43778.25,43598.85,43720.0,419565,2463960
,2023-11-06 10:15:00+05:30,43720.0,43750.0,43602.0,43649.05,223440,2480070
,2023-11-06 11:15:00+05:30,43649.05,43714.25,43640.0,43697.3,214095,2503860
,2023-11-06 12:15:00+05:30,43702.4,43749.0,43683.4,43735.05,140565,2486100
,2023-11-06 13:15:00+05:30,43735.05,43792.85,43708.65,43788.55,136680,2498115
,2023-11-06 14:15:00+05:30,43787.8,43861.9,43776.3,43839.45,345435,2482320
,2023-11-06 15:15:00+05:30,43839.45,43868.0,43827.0,43855.55,142500,2493045
,2023-11-07 09:15:00+05:30,43855.3,43875.0,43625.0,43671.3,431745,2495490
,2023-11-07 10:15:00+05:30,43672.1,43758.85,43663.0,43733.2,178020,2512620
,2023-11-07 11:15:00+05:30,43732.55,43758.45,43517.35,43555.0,495090,2538405
,2023-11-07 12:15:00+05:30,43555.0,43614.55,43526.75,43599.0,187905,2525670
